file,artist,album
tcd.jpg,Kanye West,The College Dropout
lr.jpg,Kanye West,Late Registration
"graduation.jpg",Kanye West,Graduation
"heartbreak.jpg",Kanye West,808s and Heartbreak
mbdtf.jpg,Kanye West,My Beautiful Dark Twisted Fantasy
yeezus.jpg,Kanye West,Yeezus
tlop.jpg,Kanye West,The Life of Pablo
ye.jpg,Kanye West,ye 
jik.jpg,Kanye West,JESUS IS KING
donda.jpg,Kanye West,Donda
ksg.jpg,KIDS SEE GHOSTS,KIDS SEE GHOSTS
doris.jpg,Earl Sweatshirt,Doris
idlsidgo.jpg,Earl Sweatshirt,"I Don't Like Shit, I Don't Go Outside"
srs.jpg,Earl Sweatshirt,Some Rap Songs
foc.jpg,Earl Sweatshirt,FEET OF CLAY
sick.jpg,Earl Sweatshirt,SICK!
loveless.jpg,my bloody valentine,Loveless
souvlaki.jpg,Slowdive,Souvlaki
it.jpg,Joji,In Tounges
"ballads.jpg",Joji,BALLADS 1
nectar.jpg,Joji,Nectar
camp.jpg,Childish Gambino,Camp
bti.jpg,Childish Gambino,Because the Internet
aml.jpg,Childish Gambino,"Awaken, My Love!"
bastard.jpg,"Tyler, The Creator",Bastard
goblin.jpg,"Tyler, The Creator",Goblin
Wolf.jpg,"Tyler, The Creator",Wolf
cb.jpg,"Tyler, The Creator",Cherry Bomb
fb.jpg,"Tyler, The Creator",Flower Boy
igor.jpg,"Tyler, The Creator",IGOR
cmiygl.jpg,"Tyler, The Creator",CALL ME IF YOU GET LOST
bleach.jpg,Nirvana,Bleach
nevermind.jpg,Nirvana,Nevermind
iu.jpg,Nirvana,In Utero
gbgr.jpg,Juice WRLD,Goodbye & Good Riddance
drfl.jpg,Juice WRLD,Death Race for Love
lnd.jpg,Juice WRLD,Legends Never Die
fd.jpg,Juice WRLD,Fighting Demons
s80.jpg,Kendrick Lamar,Section.80
gkmc.jpg,Kendrick Lamar,"good kid, m.A.A.d city"
tpab.jpg,Kendrick Lamar,To Pimp a Butterfly
damn.jpg,Kendrick Lamar,DAMN.
hob.jpg,The Weeknd,House of Balloons
thursday.jpg,The Weeknd,Thursday
eos.jpg,The Weeknd,Echoes of Silence
kl.jpg,The Weeknd,Kiss Land
bbtm.jpg,The Weeknd,Beauty Behind the Madness
starboy.jpg,The Weeknd,Starboy
mdm.jpg,The Weeknd,"My Dear Melancholy,"
ah.jpg,The Weeknd,After Hours
dfm.jpg,The Weeknd,Dawn FM
lda.jpg,MGMT,Little Dark Age
os.jpg,MGMT,Oracular Spectacular
1989.jpg,Taylor Swift,1989
reputation.jpg,Taylor Swift,reputation
lover.jpg,Taylor Swift,Lover
evermore.jpg,Taylor Swift,evermore
red.jpg,Taylor Swift,Red (Taylor's Version)
iti.jpg,The Strokes,Is This It
tna.jpg,The Strokes,The New Abnormal
itaots.jpg,Neutral Milk Hotel,In the Aeroplane Over the Sea
tf.jpg,Car Seat Headrest,Twin Fantasy
etwt.jpg,Wu-Tang Clan,Enter The Wu-Tang
frailty.jpg,dltzk,Frailty
rtl.jpg,Metallica,Ride the Lightning
mop.jpg,Metallica,Master of Puppets
fishmonger.jpg,underscores,fishmonger
iicmigq.jpg,girl in red,if i could make it go quiet
ctrl.jpg,SZA,Ctrl
blond.jpg,Frank Ocean,Blond
ph.jpg,Doja Cat,Planet Her
hp.jpg,Doja Cat,Hot Pink
pup.jpg,PUP,PUP
tdio.jpg,PUP,The Dream Is Over
ms.jpg,PUP,Morbid Stuff
tuoptb,PUP,THE UNRAVELING OF PUPTHEBAND
pablo.jpg,Radiohead,Pablo Honey
tb.jpg,Radiohead,The Bends
okc.jpg,Radiohead,OK Computer
kida.jpg,Radiohead,Kid A
httt.jpg,Radiohead,Hail to the Thief
ir.jpg,Radiohead,In Rainbows
amsp.jpg,Radiohead,A Moon Shaped Pool
kidamnesia.jpg,Radiohead,KID A MNESIA
af.jpg,American Football,American Football
sports.jpg,Modern Baseball,Sports
ygmia.jpg,Modern Baseball,You're Gonna Miss It All
hg.jpg,Modern Baseball,Holy Ghost
hf.jpg,The Killers,Hot Fuss
gorillaz,Gorillaz,Gorillaz
lkh.jpg,Gorillaz & Space Monkeyz,Laika Come Home
dd.jpg,Gorillaz,Demon Days
pb.jpg,Gorillaz,Plastic Beach
fall.jpg,Gorillaz,The Fall
humanz.jpg,Gorillaz,Humanz
tnn.jpg,Gorillaz,The Now Now
sm.jpg,Gorillaz,Song Machine
btd.jpg,Lana Del Rey,Born to Die
uv.jpg,Lana Del Rey,Ultraviolence
honeymoon.jpg,Lana Del Rey,Honeymoon
lfl.jpg,Lana Del Rey,Lust for Life
nfr.jpg,Lana Del Rey,Norman Fucking Rockwell!
cotcc.jpg,Lana Del Rey,Chemtrails Over the Country Club
bb.jpg,Lana Del Rey,Blue Banisters
fmty.jpg,Quadeca,From Me to You
motm.jpg,Kid Cudi,Man On the Moon: The End of Day
motm2.jpg,Kid Cudi,"Man On the Moon, Vol. II: The Legend of Mr. Rager"
indicud.jpg,Kid Cudi,Indicud
sb2h.jpg,Kid Cudi,Speedin' Bullet 2 Heaven
ppads.jpg,Kid Cudi,"Passion, Pain & Demon Slayin'"
motm3.jpg,Kid Cudi,Man On the Moon III: The Chosen
tms.jpg,Death Grips,The Money Store
gp.jpg,Death Grips,Government Plates
cw.jpg,J. Cole,Cole World: The Sideline Story
bs.jpg,J. Cole,Born Sinner
2014.jpg,J. Cole,2014 Forest Hill Drive
4yeo.jpg,J. Cole,4 Your Eyez Only
kod.jpg,J. Cole,KOD
tos.jpg,J. Cole,The Off-Season